,Unnamed: 0,LengthJumper,MetricPatternJumper,LengthDataset,MetricPatternDataset
1053,1053,7,"[1, 3, 6]",7,"[3, 6]"
1054,1054,7,"[2, 6]",7,"[2, 6]"
1055,1055,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1056,1056,7,"[1, 4, 6]",7,"[1, 4, 6]"
1057,1057,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1058,1058,7,"[3, 4, 6]",7,"[3, 6]"
1059,1059,7,"[2, 3, 4, 6]",7,"[2, 3, 6]"
1060,1060,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1061,1061,7,"[2, 4, 6]",7,"[4, 6]"
1062,1062,11,"[2, 3, 4, 6, 8, 10]",11,"[2, 3, 4, 6, 8, 10]"
1063,1063,7,"[1, 4, 6]",7,"[1, 4, 6]"
1064,1064,7,"[3, 6]",7,"[3, 6]"
1065,1065,11,"[2, 6, 10]",11,"[2, 6, 10]"
1066,1066,7,"[1, 3, 6]",7,"[1, 3, 6]"
1067,1067,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1068,1068,7,"[2, 4, 6]",7,"[2, 4, 6]"
1069,1069,7,"[2, 6]",7,"[2, 6]"
1070,1070,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1071,1071,7,"[4, 6]",7,"[4, 6]"
1072,1072,11,"[4, 6, 7, 9, 10]",11,"[4, 6, 7, 9, 10]"
1073,1073,7,"[1, 3, 6]",7,"[1, 3, 6]"
1074,1074,7,"[2, 4, 6]",7,"[2, 4, 6]"
1075,1075,11,"[1, 2, 4, 8, 10]",11,"[1, 4, 8, 10]"
1076,1076,7,"[3, 6]",7,"[3, 6]"
1077,1077,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1078,1078,7,"[3, 6]",7,"[3, 6]"
1079,1079,7,"[1, 4, 6]",7,"[1, 4, 6]"
1080,1080,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1081,1081,7,"[4, 6]",7,"[4, 6]"
1082,1082,11,"[1, 4, 6, 7, 9, 10]",11,"[1, 4, 6, 7, 9, 10]"
1083,1083,7,"[2, 4, 6]",7,"[2, 4, 6]"
1084,1084,11,"[2, 3, 6, 8, 10]",11,"[2, 3, 6, 8, 10]"
1085,1085,14,"[3, 6, 9, 10, 13]",14,"[3, 6, 9, 10, 13]"
1086,1086,7,"[3, 6]",7,"[3, 6]"
1087,1087,11,"[4, 8, 10]",11,"[4, 8, 10]"
1088,1088,7,"[1, 3, 6]",7,"[3, 6]"
1089,1089,11,"[4, 8, 10]",11,"[4, 8, 10]"
1090,1090,7,"[3, 6]",7,"[3, 6]"
1091,1091,7,"[2, 6]",7,"[2, 6]"
1092,1092,13,"[4, 6, 10, 12]",13,"[4, 6, 10, 12]"
1093,1093,7,"[1, 2, 4, 6]",7,"[1, 2, 4, 6]"
1094,1094,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1095,1095,7,"[3, 6]",7,"[3, 6]"
1096,1096,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1097,1097,7,"[4, 6]",7,"[4, 6]"
1098,1098,11,"[4, 6, 8, 9, 10]",11,"[4, 6, 8, 9, 10]"
1099,1099,7,"[1, 3, 6]",7,"[1, 3, 6]"
1100,1100,11,"[2, 3, 6, 8, 10]",11,"[2, 3, 6, 8, 10]"
1101,1101,7,"[3, 6]",7,"[3, 6]"
1102,1102,9,"[2, 4, 8]",9,"[2, 4, 8]"
1103,1103,11,"[4, 8, 10]",11,"[4, 8, 10]"
1104,1104,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1105,1105,11,"[3, 6, 9, 10]",11,"[3, 6, 9, 10]"
1106,1106,11,"[3, 6, 7, 10]",11,"[3, 6, 10]"
1107,1107,11,"[1, 4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1108,1108,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1109,1109,11,"[2, 6, 8, 9, 10]",11,"[2, 6, 8, 9, 10]"
1110,1110,7,"[1, 4, 6]",7,"[1, 4, 6]"
1111,1111,11,"[2, 6, 10]",11,"[2, 6, 8, 10]"
1112,1112,7,"[3, 6]",7,"[3, 6]"
1113,1113,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1114,1114,7,"[3, 6]",7,"[3, 6]"
1115,1115,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1116,1116,11,"[3, 6, 9, 10]",11,"[3, 6, 9, 10]"
1117,1117,7,"[2, 6]",7,"[2, 6]"
1118,1118,11,"[3, 6, 10]",11,"[3, 6, 10]"
1119,1119,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 6, 8, 10]"
1120,1120,7,"[3, 6]",7,"[3, 6]"
1121,1121,7,"[3, 6]",7,"[3, 6]"
1122,1122,11,"[2, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1123,1123,11,"[2, 4, 6, 7, 10]",11,"[4, 6, 7, 10]"
1124,1124,7,"[4, 6]",7,"[4, 6]"
1125,1125,7,"[3, 6]",7,"[3, 6]"
1126,1126,11,"[2, 6, 7, 10]",11,"[2, 6, 7, 10]"
1127,1127,7,"[1, 3, 6]",7,"[1, 2, 6]"
1128,1128,11,"[2, 6, 10]",11,"[2, 6, 8, 10]"
1129,1129,11,"[4, 6, 7, 8, 10]",11,"[4, 6, 7, 8, 10]"
1130,1130,9,"[4, 8]",9,"[4, 8]"
1131,1131,9,"[3, 5, 8]",9,"[3, 4, 8]"
1132,1132,9,"[2, 5, 8]",9,"[2, 5, 8]"
1133,1133,9,"[1, 4, 8]",9,"[1, 4, 8]"
1134,1134,9,"[3, 6, 8]",9,"[3, 6, 8]"
1135,1135,9,"[1, 4, 8]",9,"[1, 4, 8]"
1136,1136,9,"[2, 4, 8]",9,"[2, 4, 8]"
1137,1137,9,"[4, 8]",9,"[1, 4, 8]"
1138,1138,9,"[2, 4, 8]",9,"[2, 4, 8]"
1139,1139,9,"[1, 4, 8]",9,"[1, 4, 8]"
1140,1140,9,"[4, 8]",9,"[4, 8]"
1141,1141,9,"[2, 4, 6, 8]",9,"[2, 4, 6, 8]"
1142,1142,9,"[1, 4, 8]",9,"[1, 4, 8]"
1143,1143,9,"[4, 6, 8]",9,"[4, 6, 8]"
1144,1144,9,"[1, 4, 8]",9,"[1, 4, 8]"
1145,1145,9,"[4, 6, 8]",9,"[4, 8]"
1146,1146,9,"[4, 8]",9,"[4, 8]"
1147,1147,9,"[4, 8]",9,"[4, 8]"
1148,1148,9,"[1, 4, 8]",9,"[1, 4, 8]"
1149,1149,9,"[4, 8]",9,"[4, 8]"
1150,1150,9,"[1, 4, 8]",9,"[1, 4, 8]"
1151,1151,9,"[4, 8]",9,"[4, 8]"
1152,1152,9,"[1, 4, 8]",9,"[1, 4, 8]"
1153,1153,9,"[1, 4, 6, 8]",9,"[1, 4, 6, 8]"
1154,1154,9,"[4, 5, 8]",9,"[4, 5, 8]"
1155,1155,9,"[1, 4, 8]",9,"[1, 4, 8]"
1156,1156,9,"[1, 4, 8]",9,"[1, 4, 8]"
1157,1157,9,"[4, 8]",9,"[4, 8]"
1158,1158,9,"[1, 4, 8]",9,"[1, 4, 8]"
1159,1159,9,"[4, 8]",9,"[4, 8]"
1160,1160,9,"[2, 4, 6, 8]",9,"[2, 6, 8]"
1161,1161,9,"[4, 8]",9,"[4, 8]"
1162,1162,9,"[2, 4, 6, 8]",9,"[2, 4, 8]"
1163,1163,9,"[2, 5, 8]",9,"[2, 5, 8]"
1164,1164,9,"[4, 8]",9,"[4, 8]"
1165,1165,9,"[4, 8]",9,"[4, 8]"
1166,1166,9,"[2, 4, 8]",9,"[2, 4, 8]"
1167,1167,9,"[1, 4, 8]",9,"[1, 4, 8]"
1168,1168,9,"[2, 4, 6, 8]",9,"[2, 4, 6, 8]"
1169,1169,9,"[4, 6, 8]",9,"[4, 6, 8]"
1170,1170,9,"[2, 4, 5, 8]",9,"[2, 4, 5, 8]"
1171,1171,9,"[4, 8]",9,"[4, 8]"
1172,1172,9,"[4, 8]",9,"[4, 8]"
1173,1173,9,"[4, 8]",9,"[4, 8]"
1174,1174,9,"[1, 4, 5, 8]",9,"[1, 4, 5, 8]"
1175,1175,9,"[1, 4, 8]",9,"[1, 4, 8]"
1176,1176,9,"[1, 4, 6, 8]",9,"[1, 4, 6, 8]"
1177,1177,9,"[4, 8]",9,"[4, 8]"
1178,1178,9,"[2, 4, 8]",9,"[2, 4, 8]"
1179,1179,9,"[2, 4, 8]",9,"[2, 4, 8]"
1180,1180,9,"[4, 8]",9,"[4, 8]"
1181,1181,9,"[3, 5, 8]",9,"[3, 5, 8]"
1182,1182,7,"[2, 6]",7,"[2, 6]"
1183,1183,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1184,1184,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1185,1185,11,"[4, 6, 10]",11,"[4, 6, 10]"
1186,1186,7,"[2, 6]",7,"[2, 6]"
1187,1187,11,"[3, 6, 10]",11,"[3, 6, 10]"
1188,1188,11,"[2, 4, 10]",11,"[2, 4, 10]"
1189,1189,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1190,1190,7,"[3, 6]",7,"[1, 3, 6]"
1191,1191,11,"[2, 6, 10]",11,"[2, 6, 10]"
1192,1192,7,"[3, 6]",7,"[3, 6]"
1193,1193,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1194,1194,11,"[2, 6, 10]",11,"[2, 6, 10]"
1195,1195,7,"[3, 6]",7,"[3, 6]"
1196,1196,11,"[1, 4, 6, 8, 10]",11,"[1, 4, 6, 8, 10]"
1197,1197,11,"[1, 3, 6, 10]",11,"[1, 3, 6, 10]"
1198,1198,11,"[4, 8, 10]",11,"[4, 8, 10]"
1199,1199,7,"[2, 6]",7,"[2, 6]"
1200,1200,11,"[4, 6, 7, 10]",11,"[4, 6, 7, 10]"
1201,1201,7,"[2, 6]",7,"[2, 6]"
1202,1202,11,"[2, 6, 10]",11,"[2, 6, 10]"
1203,1203,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1204,1204,7,"[3, 6]",7,"[3, 6]"
1205,1205,11,"[4, 6, 10]",11,"[4, 6, 10]"
1206,1206,11,"[4, 8, 10]",11,"[4, 8, 10]"
1207,1207,11,"[3, 8, 10]",11,"[2, 3, 8, 10]"
1208,1208,11,"[4, 8, 10]",11,"[4, 8, 10]"
1209,1209,11,"[4, 5, 6, 10]",11,"[4, 5, 6, 10]"
1210,1210,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1211,1211,11,"[3, 6, 7, 10]",11,"[3, 6, 7, 10]"
1212,1212,11,"[1, 2, 4, 6, 10]",11,"[1, 2, 4, 6, 10]"
1213,1213,11,"[3, 6, 7, 8, 10]",11,"[3, 6, 7, 8, 10]"
1214,1214,11,"[1, 4, 6, 10]",11,"[4, 6, 10]"
1215,1215,11,"[1, 3, 6, 10]",11,"[1, 3, 6, 10]"
1216,1216,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1217,1217,11,"[5, 10]",9,"[4, 8]"
1218,1218,11,"[2, 6, 10]",11,"[2, 4, 6, 10]"
1219,1219,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1220,1220,11,"[2, 6, 10]",11,"[2, 6, 10]"
1221,1221,9,"[1, 3, 8]",9,"[1, 3, 8]"
1222,1222,11,"[2, 4, 6, 7, 10]",11,"[2, 4, 6, 7, 10]"
1223,1223,11,"[4, 5, 6, 10]",11,"[4, 5, 6, 10]"
1224,1224,11,"[6, 8, 9, 10]",11,"[6, 8, 9, 10]"
1225,1225,9,"[3, 8]",9,"[3, 8]"
1226,1226,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
1227,1227,11,"[1, 6, 10]",11,"[1, 6, 10]"
1228,1228,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1229,1229,9,"[4, 8]",9,"[4, 8]"
1230,1230,11,"[1, 4, 6, 10]",11,"[4, 6, 10]"
1231,1231,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1232,1232,11,"[1, 3, 6, 10]",11,"[1, 3, 6, 10]"
1233,1233,9,"[4, 8]",9,"[4, 8]"
1234,1234,11,"[1, 4, 8, 10]",11,"[1, 4, 8, 10]"
1235,1235,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1236,1236,11,"[1, 6, 10]",11,"[1, 6, 10]"
1237,1237,9,"[1, 4, 8]",9,"[1, 4, 8]"
1238,1238,11,"[6, 10]",11,"[6, 10]"
1239,1239,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1240,1240,11,"[4, 6, 10]",11,"[4, 6, 10]"
1241,1241,11,"[1, 2, 3, 6, 10]",10,"[1, 2, 3, 6, 9]"
1242,1242,11,"[4, 6, 10]",11,"[4, 6, 10]"
1243,1243,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
1244,1244,7,"[4, 6]",7,"[4, 6]"
1245,1245,12,"[2, 6, 7, 9, 11]",14,"[2, 6, 8, 11, 13]"
1246,1246,8,"[4, 5, 7]",9,"[4, 5, 8]"
1247,1247,7,"[2, 6]",7,"[2, 6]"
1248,1248,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1249,1249,8,"[3, 7]",8,"[3, 7]"
1250,1250,7,"[2, 6]",7,"[2, 6]"
1251,1251,11,"[4, 7, 10]",11,"[4, 7, 10]"
1252,1252,11,"[1, 4, 7, 8, 10]",11,"[1, 4, 7, 8, 10]"
1253,1253,11,"[1, 2, 6, 9, 10]",11,"[1, 2, 6, 9, 10]"
1254,1254,11,"[2, 4, 6, 7, 10]",11,"[2, 4, 6, 7, 10]"
1255,1255,11,"[4, 6, 10]",11,"[4, 6, 10]"
1256,1256,13,"[2, 4, 8, 12]",13,"[2, 4, 8, 12]"
1257,1257,11,"[4, 6, 8, 10]",11,"[4, 6, 10]"
1258,1258,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1259,1259,7,"[4, 6]",7,"[4, 6]"
1260,1260,8,"[3, 7]",8,"[3, 7]"
1261,1261,7,"[2, 6]",7,"[2, 6]"
1262,1262,11,"[4, 8, 9, 10]",11,"[4, 8, 10]"
1263,1263,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1264,1264,7,"[3, 6]",11,"[3, 6]"
1265,1265,11,"[2, 6, 9, 10]",11,"[2, 6, 9, 10]"
1266,1266,11,"[3, 6, 10]",11,"[3, 6, 10]"
1267,1267,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1268,1268,11,"[2, 6, 8, 10]",11,"[2, 6, 10]"
1269,1269,7,"[1, 6]",7,"[1, 6]"
1270,1270,7,"[3, 6]",14,"[3, 6]"
1271,1271,5,[4],5,[4]
1272,1272,7,"[1, 6]",7,"[1, 6]"
1273,1273,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
1274,1274,7,"[3, 6]",7,"[3, 6]"
1275,1275,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1276,1276,11,"[2, 6, 10]",11,"[2, 6, 10]"
1277,1277,11,"[2, 6, 10]",11,"[2, 6, 10]"
1278,1278,11,"[3, 6, 10]",11,"[3, 6, 10]"
1279,1279,7,"[2, 6]",7,"[2, 6]"
1280,1280,7,[6],7,[6]
1281,1281,11,"[2, 6, 10]",11,"[2, 6, 10]"
1282,1282,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
1283,1283,7,"[2, 4, 6]",7,"[2, 6]"
1284,1284,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1285,1285,7,"[1, 4, 6]",7,"[4, 6]"
1286,1286,7,"[3, 6]",7,"[3, 6]"
1287,1287,7,"[4, 6]",7,"[4, 6]"
1288,1288,11,"[4, 8, 10]",11,"[4, 8, 10]"
1289,1289,7,"[2, 6]",7,"[2, 6]"
1290,1290,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1291,1291,7,"[1, 3, 6]",7,"[1, 3, 6]"
1292,1292,11,"[1, 2, 4, 8, 10]",11,"[1, 2, 4, 8, 10]"
1293,1293,7,"[2, 6]",7,"[2, 6]"
1294,1294,4,[3],4,[3]
1295,1295,7,"[2, 6]",7,"[2, 6]"
1296,1296,7,"[3, 6]",7,"[3, 6]"
1297,1297,11,"[4, 8, 10]",11,"[4, 8, 10]"
1298,1298,7,"[2, 6]",7,"[3, 6]"
1299,1299,11,"[3, 4, 6, 8, 9, 10]",11,"[3, 6, 9, 10]"
1300,1300,7,"[4, 6]",7,"[4, 6]"
1301,1301,11,"[2, 3, 4, 6, 10]",11,"[2, 6, 10]"
1302,1302,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1303,1303,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
1304,1304,7,"[3, 6]",7,"[3, 6]"
1305,1305,11,"[1, 4, 6, 7, 10]",11,"[1, 4, 6, 10]"
1306,1306,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1307,1307,7,"[3, 6]",7,"[3, 6]"
1308,1308,7,"[2, 6]",7,"[2, 6]"
1309,1309,11,"[2, 6, 10]",11,"[2, 6, 10]"
1310,1310,7,"[4, 6]",7,"[4, 6]"
1311,1311,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 6, 8, 10]"
1312,1312,11,"[2, 3, 4, 6, 10]",11,"[2, 4, 6, 10]"
1313,1313,7,"[2, 4, 6]",7,"[2, 4, 6]"
1314,1314,11,"[1, 3, 6, 7, 10]",11,"[1, 3, 6, 7, 10]"
1315,1315,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 6, 8, 10]"
1316,1316,11,"[3, 6, 10]",11,"[3, 6, 10]"
1317,1317,11,"[3, 6, 10]",11,"[3, 6, 10]"
1318,1318,7,"[3, 6]",7,"[3, 6]"
1319,1319,7,"[3, 6]",7,"[3, 6]"
1320,1320,7,"[1, 4, 6]",7,"[1, 4, 6]"
1321,1321,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
1322,1322,11,"[2, 4, 5, 6, 8, 10]",11,"[2, 4, 5, 6, 8, 10]"
1323,1323,7,[6],7,[6]
1324,1324,7,"[2, 6]",7,"[2, 6]"
1325,1325,14,"[3, 6, 8, 9, 11, 13]",14,"[3, 6, 8, 9, 11, 13]"
1326,1326,7,"[3, 6]",7,"[3, 6]"
1327,1327,7,"[4, 6]",7,"[4, 6]"
1328,1328,13,"[1, 4, 5, 8, 12]",14,"[1, 4, 6, 9, 13]"
1329,1329,7,"[1, 3, 6]",14,"[1, 3, 6]"
1330,1330,7,"[2, 4, 5, 6]",14,"[2, 4, 5, 6]"
1331,1331,7,"[1, 6]",7,"[1, 6]"
1332,1332,7,"[1, 2, 5, 6]",7,"[1, 2, 5, 6]"
1333,1333,14,"[2, 4, 6, 8, 11, 13]",14,"[2, 4, 6, 8, 11, 13]"
1334,1334,11,"[2, 6, 7, 10]",11,"[2, 6, 7, 10]"
1335,1335,11,"[2, 5, 7, 10]",11,"[2, 5, 7, 10]"
1336,1336,11,"[1, 5, 10]",11,"[1, 5, 10]"
1337,1337,9,"[4, 5, 8]",9,"[4, 5, 8]"
1338,1338,7,"[4, 5, 6]",7,"[4, 6]"
1339,1339,11,"[1, 3, 5, 8, 10]",11,"[1, 3, 5, 8, 10]"
1340,1340,11,"[2, 5, 7, 10]",11,"[2, 5, 7, 10]"
1341,1341,9,"[3, 4, 6, 8]",9,"[3, 4, 6, 8]"
1342,1342,7,"[1, 3, 6]",7,"[1, 3, 6]"
1343,1343,11,"[2, 5, 10]",11,"[2, 5, 7, 10]"
1344,1344,11,"[1, 3, 5, 10]",11,"[1, 3, 5, 10]"
1345,1345,9,"[3, 8]",9,"[3, 8]"
1346,1346,7,"[3, 6]",7,"[3, 6]"
1347,1347,11,"[4, 6, 7, 10]",11,"[4, 6, 7, 10]"
1348,1348,11,"[2, 5, 8, 10]",11,"[2, 5, 8, 10]"
1349,1349,9,"[1, 5, 8]",9,"[1, 5, 8]"
1350,1350,7,"[2, 6]",7,"[2, 6]"
1351,1351,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 8, 10]"
1352,1352,11,"[4, 8, 10]",11,"[4, 8, 10]"
1353,1353,9,"[2, 4, 8]",9,"[2, 4, 8]"
1354,1354,7,"[1, 3, 6]",7,"[1, 3, 6]"
1355,1355,11,"[2, 6, 9, 10]",11,"[2, 6, 9, 10]"
1356,1356,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
1357,1357,9,"[4, 6, 8]",9,"[4, 6, 8]"
1358,1358,7,"[4, 6]",7,"[4, 6]"
1359,1359,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
1360,1360,11,"[1, 4, 6, 7, 10]",11,"[4, 6, 7, 10]"
1361,1361,9,"[5, 8]",9,"[5, 8]"
1362,1362,7,"[3, 6]",7,"[3, 6]"
1363,1363,11,"[1, 6, 10]",11,"[1, 6, 10]"
1364,1364,11,"[2, 6, 10]",11,"[2, 6, 10]"
1365,1365,9,"[3, 6, 8]",9,"[3, 6, 8]"
1366,1366,7,"[2, 3, 6]",7,"[2, 3, 6]"
1367,1367,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1368,1368,11,"[2, 6, 10]",11,"[2, 6, 10]"
1369,1369,9,"[3, 6, 8]",9,"[3, 6, 8]"
1370,1370,7,"[1, 6]",7,"[1, 6]"
1371,1371,11,"[4, 6, 10]",11,"[4, 6, 10]"
1372,1372,11,"[3, 6, 10]",11,"[3, 6, 10]"
1373,1373,9,"[2, 4, 8]",9,"[2, 4, 8]"
1374,1374,7,"[2, 6]",7,"[2, 6]"
1375,1375,11,"[3, 6, 10]",11,"[3, 6, 10]"
1376,1376,11,"[4, 6, 8, 10]",11,"[4, 6, 8, 10]"
1377,1377,9,"[2, 6, 8]",9,"[2, 6, 8]"
1378,1378,7,"[3, 6]",7,"[3, 6]"
1379,1379,11,"[1, 4, 8, 10]",11,"[1, 4, 8, 10]"
1380,1380,11,"[4, 8, 10]",11,"[4, 8, 10]"
1381,1381,9,"[5, 8]",9,"[5, 8]"
1382,1382,7,"[3, 6]",7,"[3, 6]"
1383,1383,11,"[4, 6, 10]",11,"[4, 6, 10]"
1384,1384,11,"[4, 6, 9, 10]",11,"[4, 6, 10]"
1385,1385,9,"[1, 5, 8]",9,"[1, 5, 8]"
1386,1386,7,"[2, 6]",7,"[2, 6]"
1387,1387,11,"[4, 6, 8, 10]",11,"[1, 4, 6, 8, 10]"
1388,1388,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1389,1389,9,"[2, 5, 8]",9,"[2, 5, 8]"
1390,1390,7,"[3, 6]",7,"[3, 6]"
1391,1391,11,"[3, 6, 10]",11,"[3, 6, 10]"
1392,1392,11,"[1, 2, 4, 6, 10]",11,"[2, 4, 6, 8, 10]"
1393,1393,9,"[3, 6, 8]",9,"[3, 6, 8]"
1394,1394,7,"[2, 4, 6]",7,"[2, 4, 6]"
1395,1395,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
1396,1396,11,"[1, 2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1397,1397,9,"[1, 6, 8]",9,"[1, 6, 8]"
1398,1398,7,"[2, 6]",7,"[2, 6]"
1399,1399,11,"[3, 6, 10]",11,"[3, 6, 10]"
1400,1400,11,"[1, 6, 8, 10]",11,"[1, 6, 8, 10]"
1401,1401,9,"[3, 6, 8]",9,"[1, 3, 6, 8]"
1402,1402,7,"[2, 6]",7,"[2, 6]"
1403,1403,11,"[3, 6, 7, 10]",11,"[3, 6, 7, 10]"
1404,1404,11,"[1, 6, 8, 10]",11,"[1, 6, 8, 10]"
1405,1405,9,"[2, 4, 8]",9,"[2, 8]"
1406,1406,7,"[3, 6]",7,"[3, 6]"
1407,1407,7,"[4, 6]",7,"[4, 6]"
1408,1408,9,"[4, 5, 6, 8]",9,"[4, 5, 6, 8]"
1409,1409,4,"[1, 3]",4,[3]
1410,1410,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1411,1411,7,"[3, 6]",7,"[3, 6]"
1412,1412,9,"[1, 6, 7, 8]",9,"[1, 6, 8]"
1413,1413,4,[3],4,[3]
1414,1414,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1415,1415,7,"[1, 2, 6]",7,"[2, 6]"
1416,1416,9,"[5, 6, 8]",9,"[5, 6, 8]"
1417,1417,4,[3],4,[3]
1418,1418,11,"[3, 5, 8, 10]",11,"[3, 5, 8, 10]"
1419,1419,7,"[3, 6]",7,"[3, 6]"
1420,1420,10,"[4, 9]",9,"[4, 8]"
1421,1421,4,[3],4,[3]
1422,1422,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1423,1423,7,"[1, 3, 4, 6]",7,"[1, 3, 4, 6]"
1424,1424,11,"[3, 6, 10]",9,"[3, 6, 8]"
1425,1425,4,[3],4,[3]
1426,1426,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 6, 8, 10]"
1427,1427,7,"[3, 6]",7,"[3, 6]"
1428,1428,8,"[1, 2, 4, 5, 7]",9,"[1, 2, 4, 5, 8]"
1429,1429,4,"[2, 3]",4,[3]
1430,1430,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
1431,1431,7,"[3, 5, 6]",7,"[3, 5, 6]"
1432,1432,9,"[4, 8]",9,"[1, 4, 5, 8]"
1433,1433,4,[3],4,[3]
1434,1434,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1435,1435,7,"[3, 6]",7,"[3, 6]"
1436,1436,8,"[1, 3, 4, 7]",9,"[4, 5, 8]"
1437,1437,4,[3],4,[3]
1438,1438,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
1439,1439,7,"[3, 6]",7,"[3, 6]"
1440,1440,11,"[4, 6, 10]",9,"[3, 5, 8]"
1441,1441,4,[3],4,[3]
1442,1442,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1443,1443,7,"[1, 3, 4, 6]",7,"[1, 3, 4, 6]"
1444,1444,9,"[2, 6, 8]",9,"[2, 6, 8]"
1445,1445,4,[3],4,[3]
1446,1446,9,"[2, 3, 6, 7, 8]",11,"[2, 3, 6, 8, 10]"
1447,1447,7,"[4, 6]",7,"[4, 6]"
1448,1448,8,"[5, 7]",9,"[5, 8]"
1449,1449,4,[3],4,[3]
1450,1450,11,"[2, 4, 7, 10]",11,"[2, 4, 7, 10]"
1451,1451,7,"[2, 4, 6]",7,"[2, 4, 6]"
1452,1452,11,"[5, 8, 10]",9,"[3, 6, 8]"
1453,1453,3,"[1, 2]",4,[3]
1454,1454,11,"[1, 4, 6, 8, 10]",11,"[1, 4, 6, 8, 10]"
1455,1455,7,"[2, 4, 6]",7,"[2, 4, 6]"
1456,1456,9,"[2, 8]",9,"[2, 8]"
1457,1457,4,"[2, 3]",4,[3]
1458,1458,14,"[1, 4, 5, 8, 10, 13]",15,"[1, 4, 6, 9, 11, 14]"
1459,1459,7,"[4, 6]",7,"[4, 6]"
1460,1460,11,"[4, 8, 10]",11,"[4, 8, 10]"
1461,1461,11,"[1, 6, 10]",11,"[1, 6, 10]"
1462,1462,11,"[3, 6, 8, 10]",11,"[3, 6, 8, 10]"
1463,1463,11,"[1, 3, 8, 10]",11,"[4, 8, 10]"
1464,1464,7,"[1, 4, 6]",7,"[1, 4, 6]"
1465,1465,11,"[1, 4, 8, 10]",11,"[1, 4, 8, 10]"
